,state,abbreviation,month,as_of_date,pop
667,washington,WA,jan_2021,01/31/2021,14660
668,washington,WA,feb_2021,02/28/2021,14510
669,washington,WA,march_2021,03/31/2021,14314
670,washington,WA,april_2021,04/30/2021,14065
671,washington,WA,may_2021,04/30/2021,14065
672,west virginia,WV,march,03/15/2020,5952
673,west virginia,WV,april,04/15/2020,5556
674,west virginia,WV,june,06/15/2020,4898
675,west virginia,WV,july,07/31/2020,4398
676,west virginia,WV,aug,08/31/2020,4331
677,west virginia,WV,sept,09/30/2020,4275
678,west virginia,WV,oct,10/31/2020,4247
679,west virginia,WV,nov,11/30/2020,4189
680,west virginia,WV,dec,12/31/2020,3977
681,west virginia,WV,jan_2021,01/31/2021,3987
682,west virginia,WV,feb_2021,02/28/2021,3962
683,west virginia,WV,march_2021,03/31/2021,4053
684,west virginia,WV,april_2021,04/30/2021,4071
685,west virginia,WV,may_2021,06/01/2021,4425
686,wisconsin,WI,march,03/13/2020,23591
687,wisconsin,WI,april,04/17/2020,22507
688,wisconsin,WI,june,06/12/2020,21576
689,wisconsin,WI,july,07/31/2020,21252
690,wisconsin,WI,aug,09/04/2020,21136
691,wisconsin,WI,sept,10/02/2020,21495
692,wisconsin,WI,oct,10/30/2020,20796
693,wisconsin,WI,nov,11/27/2020,20494
694,wisconsin,WI,dec,01/01/2021,20033
695,wisconsin,WI,jan_2021,01/29/2021,19783
696,wisconsin,WI,feb_2021,02/26/2021,19513
697,wisconsin,WI,march_2021,04/02/2021,19357
698,wisconsin,WI,april_2021,04/30/2021,19301
699,wisconsin,WI,may_2021,05/28/2021,19271
700,wyoming,WY,march,03/15/2020,2156
701,wyoming,WY,april,04/15/2020,2098
702,wyoming,WY,june,06/16/2020,2001
703,wyoming,WY,july,07/31/2020,1986
704,wyoming,WY,aug,08/31/2020,1959
705,wyoming,WY,sept,09/30/2020,1996
706,wyoming,WY,oct,10/31/2020,2232
707,wyoming,WY,nov,11/30/2020,2157
708,wyoming,WY,dec,12/31/2020,2134
709,wyoming,WY,jan_2021,01/31/2021,2133
710,wyoming,WY,april_2021,01/31/2021,2133
711,wyoming,WY,may_2021,01/31/2021,2133
712,wyoming,WY,feb_2021,01/31/2021,2133
713,wyoming,WY,march_2021,01/31/2021,2133
